id,text,embedding_text
chunk:chapter I|article 1:1,"# **Điều 1. Phạm vi điều chỉnh** Luật này quy định về người nộp thuế, thu nhập chịu thuế, thu nhập được miễn thuế, giảm thuế và căn cứ tính","[chapter I | article 1] # **Điều 1. Phạm vi điều chỉnh** Luật này quy định về người nộp thuế, thu nhập chịu thuế, thu nhập được miễn thuế, giảm thuế và căn cứ tính"
chunk:chapter I|article 1:2,thuế và căn cứ tính thuế thu nhập cá nhân.,[chapter I | article 1] thuế và căn cứ tính thuế thu nhập cá nhân.
chunk:chapter I|article 2|clause 1:1,1. Người nộp thuế thu nhập cá nhân là cá nhân cư trú có thu nhập chịu thuế quy định tại Điều 3 của Luật này phát sinh trong và,[chapter I | article 2 | clause 1] 1. Người nộp thuế thu nhập cá nhân là cá nhân cư trú có thu nhập chịu thuế quy định tại Điều 3 của Luật này phát sinh trong và
chunk:chapter I|article 2|clause 1:2,này phát sinh trong và ngoài lãnh thổ Việt Nam và cá nhân không cư trú có thu nhập chịu thuế quy định tại Điều 3 của Luật này phát,[chapter I | article 2 | clause 1] này phát sinh trong và ngoài lãnh thổ Việt Nam và cá nhân không cư trú có thu nhập chịu thuế quy định tại Điều 3 của Luật này phát
chunk:chapter I|article 2|clause 1:3,3 của Luật này phát sinh trong lãnh thổ Việt Nam.,[chapter I | article 2 | clause 1] 3 của Luật này phát sinh trong lãnh thổ Việt Nam.
chunk:chapter I|article 2|clause 2|point a:1,a) Có mặt tại Việt Nam từ 183 ngày trở lên tính trong 01 năm dương lịch hoặc tính theo 12 tháng liên tục kể từ ngày đầu tiên có,[chapter I | article 2 | clause 2 | point a] a) Có mặt tại Việt Nam từ 183 ngày trở lên tính trong 01 năm dương lịch hoặc tính theo 12 tháng liên tục kể từ ngày đầu tiên có
chunk:chapter I|article 2|clause 2|point a:2,từ ngày đầu tiên có mặt tại Việt Nam;,[chapter I | article 2 | clause 2 | point a] từ ngày đầu tiên có mặt tại Việt Nam;
chunk:chapter I|article 2|clause 2|point b:1,"b) Có nơi ở thường xuyên tại Việt Nam, bao gồm có nơi ở đăng ký thường trú hoặc có nhà thuê để ở tại Việt Nam theo hợp đồng","[chapter I | article 2 | clause 2 | point b] b) Có nơi ở thường xuyên tại Việt Nam, bao gồm có nơi ở đăng ký thường trú hoặc có nhà thuê để ở tại Việt Nam theo hợp đồng"
chunk:chapter I|article 2|clause 2|point b:2,Việt Nam theo hợp đồng thuê có thời hạn.,[chapter I | article 2 | clause 2 | point b] Việt Nam theo hợp đồng thuê có thời hạn.
chunk:chapter I|article 2|clause 3:1,3. Cá nhân không cư trú là người không đáp ứng điều kiện quy định tại khoản 2 Điều này.,[chapter I | article 2 | clause 3] 3. Cá nhân không cư trú là người không đáp ứng điều kiện quy định tại khoản 2 Điều này.
chunk:chapter I|article 2|clause 4:1,4. Chính phủ quy định chi tiết Điều này.,[chapter I | article 2 | clause 4] 4. Chính phủ quy định chi tiết Điều này.
chunk:chapter I|article 3|clause 1|point a:1,"a) Thu nhập từ hoạt động sản xuất, kinh doanh hàng hoá, dịch vụ;","[chapter I | article 3 | clause 1 | point a] a) Thu nhập từ hoạt động sản xuất, kinh doanh hàng hoá, dịch vụ;"
chunk:chapter I|article 3|clause 1|point b:1,b) Thu nhập từ hoạt động hành nghề độc lập của cá nhân có giấy phép hoặc chứng chỉ hành nghề theo quy định của pháp luật;,[chapter I | article 3 | clause 1 | point b] b) Thu nhập từ hoạt động hành nghề độc lập của cá nhân có giấy phép hoặc chứng chỉ hành nghề theo quy định của pháp luật;
chunk:chapter I|article 3|clause 1|point c:1,"c) Thu nhập từ hoạt động đại lý, môi giới, hợp tác kinh doanh với tổ chức;","[chapter I | article 3 | clause 1 | point c] c) Thu nhập từ hoạt động đại lý, môi giới, hợp tác kinh doanh với tổ chức;"
chunk:chapter I|article 3|clause 1|point d:1,"d) Thu nhập từ hoạt động kinh doanh thương mại điện tử, kinh doanh dựa trên nền tảng số.","[chapter I | article 3 | clause 1 | point d] d) Thu nhập từ hoạt động kinh doanh thương mại điện tử, kinh doanh dựa trên nền tảng số."
chunk:chapter I|article 3|clause 2|point a:1,"a) Tiền lương, tiền công và các khoản có tính chất tiền lương, tiền công;","[chapter I | article 3 | clause 2 | point a] a) Tiền lương, tiền công và các khoản có tính chất tiền lương, tiền công;"
chunk:chapter I|article 3|clause 2|point b:1,"b) Tiền thù lao, các khoản lợi ích bằng tiền hoặc không bằng tiền dưới mọi hình thức;","[chapter I | article 3 | clause 2 | point b] b) Tiền thù lao, các khoản lợi ích bằng tiền hoặc không bằng tiền dưới mọi hình thức;"
chunk:chapter I|article 3|clause 2|point c:1,"c) Các khoản phụ cấp, trợ cấp, thu nhập khác trừ các khoản: phụ cấp, trợ cấp theo quy định của pháp luật về ưu đãi người có công; phụ","[chapter I | article 3 | clause 2 | point c] c) Các khoản phụ cấp, trợ cấp, thu nhập khác trừ các khoản: phụ cấp, trợ cấp theo quy định của pháp luật về ưu đãi người có công; phụ"
chunk:chapter I|article 3|clause 2|point c:2,"đãi người có công; phụ cấp quốc phòng, an ninh; phụ cấp độc hại, nguy hiểm đối với ngành, nghề hoặc công việc ở nơi làm việc có yếu tố","[chapter I | article 3 | clause 2 | point c] đãi người có công; phụ cấp quốc phòng, an ninh; phụ cấp độc hại, nguy hiểm đối với ngành, nghề hoặc công việc ở nơi làm việc có yếu tố"
chunk:chapter I|article 3|clause 2|point c:3,"làm việc có yếu tố độc hại, nguy hiểm; phụ cấp thu hút, phụ cấp khu vực theo quy định của pháp luật; phụ cấp, trợ cấp, sinh hoạt phí","[chapter I | article 3 | clause 2 | point c] làm việc có yếu tố độc hại, nguy hiểm; phụ cấp thu hút, phụ cấp khu vực theo quy định của pháp luật; phụ cấp, trợ cấp, sinh hoạt phí"
chunk:chapter I|article 3|clause 2|point c:4,"trợ cấp, sinh hoạt phí do cơ quan Việt Nam ở nước ngoài chi trả; trợ cấp khó khăn đột xuất, trợ cấp tai nạn lao động, bệnh nghề nghiệp,","[chapter I | article 3 | clause 2 | point c] trợ cấp, sinh hoạt phí do cơ quan Việt Nam ở nước ngoài chi trả; trợ cấp khó khăn đột xuất, trợ cấp tai nạn lao động, bệnh nghề nghiệp,"
chunk:chapter I|article 3|clause 2|point c:5,"lao động, bệnh nghề nghiệp, trợ cấp một lần khi sinh con hoặc nhận nuôi con nuôi, trợ cấp do suy giảm khả năng lao động, trợ cấp hưu trí","[chapter I | article 3 | clause 2 | point c] lao động, bệnh nghề nghiệp, trợ cấp một lần khi sinh con hoặc nhận nuôi con nuôi, trợ cấp do suy giảm khả năng lao động, trợ cấp hưu trí"
